Job title ,Hiring Company,Comapny Address,Shift,Links
Regulatory Affairs Specialist,dkt Egypt,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/9r3tkj8VKjxz-Regulatory-Affairs-Specialist-dkt-Egypt-Cairo-Egypt?o=60&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Research & Development Pharmacist (Formulation & Analytical Research),Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/p7UgcQRQ4urm-Research-Development-Pharmacist-Formulation-Analytical-Research-Hikma-Pharmaceuticals-Giza-Egypt?o=61&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Quality Control Manager,Confidential -,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/mee8vfGo5Xjr-Quality-Control-Manager-Cairo-Egypt?o=62&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacy Branch Manager,ElBeisy,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/HxmRWdIJNM6O-Pharmacy-Branch-Manager-ElBeisy-Alexandria-Egypt?o=63&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative (Upper Egypt),BioGroup,"Assiut, Egypt ",Full time,https://wuzzuf.net/jobs/p/X92HJINKxb87-Medical-Representative-Upper-Egypt-BioGroup-Assiut-Egypt?o=64&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Digital Media & Content Marketing Specialist,CoatConnect,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/iktWKeuYLsv4-Medical-Digital-Media-Content-Marketing-Specialist-CoatConnect-Cairo-Egypt?o=65&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Orthopaedic Implants,Confidential -,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/7x2OrPFrnHUZ-Medical-Representative---Orthopaedic-Implants-Cairo-Egypt?o=66&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Cairo,TEBCOM,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/G13nDUsFR3JC-Medical-Representative---Cairo-TEBCOM-Cairo-Egypt?o=67&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Devices Sales Representative,Taba Medical Company,"Mokattam, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/amjgFxr6XHUf-Medical-Devices-Sales-Representative-Taba-Medical-Company-Cairo-Egypt?o=68&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative / October,BioGroup,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/HSkS3klSPwEm-Medical-Representative-October-BioGroup-Giza-Egypt?o=69&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/kwfyn62cUzlA-Medical-Sales-Representative-Cairo-Egypt?o=70&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative,Confidential -,"khanka, Qalubia, Egypt ",Part time,https://wuzzuf.net/jobs/p/9rvKKGcxzInd-Medical-Sales-Representative-Qalubia-Egypt?o=71&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Specialist (Spectragel) - Heliopolis,PRT Scientific Office,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/KuuC2iXlIPHh-Product-Specialist-Spectragel---Heliopolis-PRT-Scientific-Office-Cairo-Egypt?o=72&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Manager,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/uA5X1r2HLo82-Product-Manager-Cairo-Egypt?o=73&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Manager,BIOPHARMA EGYPT s.a.e,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/4HJuBbpDMtcr-Product-Manager-BIOPHARMA-EGYPT-s-a-e-Giza-Egypt?o=74&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Manager,prima pharm,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/gDxUsTdsjOFQ-Product-Manager-prima-pharm-Cairo-Egypt?o=75&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist - Heliopolis (Afternoon Shift),Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/rTe1yrHpdCRa-Pharmacist---Heliopolis-Afternoon-Shift-Zikry-Pharmacies-Cairo-Egypt?o=76&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Sales Manager - Giza,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/CV9hqEHKqxeu-District-Sales-Manager---Giza-Giza-Egypt?o=77&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Manager At Opera Hearing Solution Company,Sigma for Imp & Exp & Opera hearing Solutions,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/0GFSaaIsoAf2-Sales-Manager-At-Opera-Hearing-Solution-Company-Sigma-for-Imp-Exp-Opera-hearing-Solutions-Cairo-Egypt?o=78&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Manager - Upper Egypt,Splendid Pharma,"Sohag, Egypt ",Full time,https://wuzzuf.net/jobs/p/KeR9bGwxBL6m-District-Manager---Upper-Egypt-Splendid-Pharma-Sohag-Egypt?o=79&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
RA Administrator - Serving Middle East & GCC Countries,AMICO Group,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/k8L1tNZolwPe-RA-Administrator---Serving-Middle-East-GCC-Countries-AMICO-Group-Giza-Egypt?o=80&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Senior Procurement Specialist (MSC),Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/1PDrDtY9YcoP-Senior-Procurement-Specialist-MSC-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=81&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative - Giza,TEBCOM,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/v6DdV5Ky5G52-Medical-Sales-Representative---Giza-TEBCOM-Giza-Egypt?o=82&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Manufacturing Site Manager,Dulex Lab,"10th of Ramadan City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/0H75EdMe6kl8-Manufacturing-Site-Manager-Dulex-Lab-Cairo-Egypt?o=83&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Line Manager,Dulex Lab,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/q1fvD99tAjoP-Line-Manager-Dulex-Lab-Cairo-Egypt?o=84&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/TFCuWfN9d1zf-Pharmacist-Giza-Egypt?o=85&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
GM Office Manager,Al Kamal Import & Marketing Company,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/88huROMga2Hm-GM-Office-Manager-Al-Kamal-Import-Marketing-Company-Cairo-Egypt?o=86&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Registration Pharmacist- Alexandria,Pharaonia Pharma,"Bourj Alarab, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/JJsp98fNA92l-Registration-Pharmacist--Alexandria-Pharaonia-Pharma-Alexandria-Egypt?o=87&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Supply Chain Manager,Confidential -,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/7BHuZX8IN9M2-Supply-Chain-Manager-Giza-Egypt?o=88&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative,Ortho-House for Medical Services,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Duk8YrN2qXkO-Medical-Sales-Representative-Ortho-House-for-Medical-Services-Cairo-Egypt?o=89&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Account Manager,CoatConnect,"Sheraton, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/e8N6hpFazmKe-Medical-Account-Manager-CoatConnect-Cairo-Egypt?o=90&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Enterprise Technical Specialist,Nano Shield,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/kULzq2CCT4vk-Enterprise-Technical-Specialist-Nano-Shield-Cairo-Egypt?o=91&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative - Alexandria,Ortho-House for Medical Services,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/WUH3j1XIHNTB-Medical-Sales-Representative---Alexandria-Ortho-House-for-Medical-Services-Alexandria-Egypt?o=92&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative - Upper Egypt,Ortho-House for Medical Services,"Assiut, Egypt ",Full time,https://wuzzuf.net/jobs/p/QQMx5KdMqDCR-Medical-Sales-Representative---Upper-Egypt-Ortho-House-for-Medical-Services-Assiut-Egypt?o=93&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative - Delta Area,Ortho-House for Medical Services,"Gharbia, Egypt ",Full time,https://wuzzuf.net/jobs/p/zR5PDkpPmJFO-Medical-Sales-Representative---Delta-Area-Ortho-House-for-Medical-Services-Gharbia-Egypt?o=94&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Manager,Dulex Lab,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/aBou1Hna7PEu-Product-Manager-Dulex-Lab-Cairo-Egypt?o=95&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Manager-Alexandria,Dulex Lab,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/RC33Z5PvnNja-District-Manager-Alexandria-Dulex-Lab-Alexandria-Egypt?o=96&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Manager-Cairo,Dulex Lab,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/yN8Na0J1qXde-District-Manager-Cairo-Dulex-Lab-Cairo-Egypt?o=97&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Channel Sales Manager,Semak,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/eTY75MglVfwP-Channel-Sales-Manager-Semak-Giza-Egypt?o=98&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
