Job title ,Hiring Company,Comapny Address,Shift,Links
Sales Representative - Vitabiotics (Mansoura),Magicpharma,"Mansoura, Dakahlia, Egypt ",Full time,https://wuzzuf.net/jobs/p/MHAWZ6h4H2OA-Sales-Representative---Vitabiotics-Mansoura-Magicpharma-Dakahlia-Egypt?o=52&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Representative - Vitabiotics (Tanta),Magicpharma,"Tanta, Gharbia, Egypt ",Full time,https://wuzzuf.net/jobs/p/2lb4ORVfMc9D-Sales-Representative---Vitabiotics-Tanta-Magicpharma-Gharbia-Egypt?o=53&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Sales Representative,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/kwfyn62cUzlA-Medical-Sales-Representative-Cairo-Egypt?o=54&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Representative - Vitabiotics (Alexandria),Magicpharma,"Alexandria, Egypt ",Part time,https://wuzzuf.net/jobs/p/IrtfKjQe45ih-Sales-Representative---Vitabiotics-Alexandria-Magicpharma-Alexandria-Egypt?o=55&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales Representative - Vitabiotics,Magicpharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/4Kwtv6ANhB1R-Sales-Representative---Vitabiotics-Magicpharma-Cairo-Egypt?o=56&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist /Delta,dkt Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/713yKN8ZpZf3-Product-Specialist-Delta-dkt-Egypt-Cairo-Egypt?o=57&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist /Alexandria & Behira,dkt Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ncEKsxLPb2w7-Product-Specialist-Alexandria-Behira-dkt-Egypt-Cairo-Egypt?o=58&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist /Giza/ Maadi/Mohandseen,dkt Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/120PjL5VS1cw-Product-Specialist-Giza-MaadiMohandseen-dkt-Egypt-Cairo-Egypt?o=59&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist /Cairo/Heliopolis/ Ain Shams,dkt Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/vod12SOZh9wK-Product-Specialist-CairoHeliopolis-Ain-Shams-dkt-Egypt-Cairo-Egypt?o=60&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist /Upper Egypt /Minia/Assuit,dkt Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/vZHfTXXDnxVQ-Product-Specialist-Upper-Egypt-MiniaAssuit-dkt-Egypt-Cairo-Egypt?o=61&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Giza,Acadia Pharma,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/kH6kiHiPSMLw-Medical-Representative---Giza-Acadia-Pharma-Giza-Egypt?o=62&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Cairo,Acadia Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/GDp0t2N8ovmQ-Medical-Representative---Cairo-Acadia-Pharma-Cairo-Egypt?o=63&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Devices Sales Representative,Taba Medical Company,"Mokattam, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/amjgFxr6XHUf-Medical-Devices-Sales-Representative-Taba-Medical-Company-Cairo-Egypt?o=64&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
