Job title ,Hiring Company,Comapny Address,Shift,Links
Assistant Lecturer - Marketing,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/udIurIsmZQX1-Assistant-Lecturer---Marketing-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=47&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Head Of French Department - Alexandria,Egyptian English Language schools,"Mandara, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/MHxCYdwJrdhc-Head-Of-French-Department---Alexandria-Egyptian-English-Language-schools-Alexandria-Egypt?o=48&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Microsoft Dynamics Functional Consultant (Retail) Senior Specialist,B.Tech,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/enHJbWgCdICk-Microsoft-Dynamics-Functional-Consultant-Retail-Senior-Specialist-B-Tech-Cairo-Egypt?o=49&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Warehouse Manager,Global Academic Foundation Hosting University of Hertfordshire UH,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/AYBtcRo3VhPA-Warehouse-Manager-Global-Academic-Foundation-Hosting-University-of-Hertfordshire-UH-Cairo-Egypt?o=50&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Digital Sales Representative,Academic Bookshop ,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/GPOGpnrqGjZy-Digital-Sales-Representative-Academic-Bookshop-Giza-Egypt?o=51&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Junior Odoo Developer,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/OEWW8SClZEpB-Junior-Odoo-Developer-Giza-Egypt?o=52&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Designer & Showroom Coordinator,NADIM,"Abu Rawash, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/uX36O1rQCycC-Designer-Showroom-Coordinator-NADIM-Giza-Egypt?o=53&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer - Business Administration,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/XjBlZSExSiJE-Assistant-Lecturer---Business-Administration-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=54&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer - Accounting & Finance,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/C8iVV221XKAK-Assistant-Lecturer---Accounting-Finance-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=55&l=sp&t=sj&a=academic|search-v3|hpb|spbg
High School English Teacher,NASS Academy,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/r7jbCQreDObA-High-School-English-Teacher-NASS-Academy-Cairo-Egypt?o=56&l=sp&t=sj&a=academic|search-v3|hpb|spbg
